"scheme","calibration","rho","alpha","model","argmax","confident","cross_family","singleton_argmax","singleton_med_ratio"
"abundance","clip",0.3,0.25,"fugw",12,8,11,2,1
"hierarchy","clip",0.3,0.25,"fugw",21,18,2,6,1
"uniform","clip",0.3,0.25,"fugw",14,9,9,2,3.7
"abundance","clip",0.3,0.5,"fugw",11,6,12,1,1
"hierarchy","clip",0.3,0.5,"fugw",21,18,2,6,1
"uniform","clip",0.3,0.5,"fugw",13,9,10,0,2.95
"abundance","clip",0.3,0.75,"fugw",13,8,10,1,1.06
"hierarchy","clip",0.3,0.75,"fugw",21,18,2,6,1
"uniform","clip",0.3,0.75,"fugw",13,9,10,0,2.82
"abundance","clip",0.3,0.9,"fugw",12,11,11,1,1.22
"hierarchy","clip",0.3,0.9,"fugw",21,16,2,6,1
"uniform","clip",0.3,0.9,"fugw",13,9,10,1,3.3
"abundance","clip",0.3,1,"uot_molecular",11,5,12,1,2.58
"hierarchy","clip",0.3,1,"uot_molecular",19,7,4,4,3.05
"uniform","clip",0.3,1,"uot_molecular",13,7,10,0,3.7
"abundance","clip",1,0,"gw_only",3,2,20,0,1.97
"hierarchy","clip",1,0,"gw_only",2,2,21,1,1.5
"uniform","clip",1,0,"gw_only",1,1,22,0,4.94
"abundance","clip",1,0.1,"fugw",10,6,13,0,1
"hierarchy","clip",1,0.1,"fugw",23,23,0,8,1
"uniform","clip",1,0.1,"fugw",10,9,13,0,4.78
"abundance","clip",1,0.25,"fugw",10,6,13,0,1.22
"hierarchy","clip",1,0.25,"fugw",21,18,2,6,1
"uniform","clip",1,0.25,"fugw",15,8,8,1,4.72
"abundance","clip",1,0.5,"fugw",12,6,11,2,1.44
"hierarchy","clip",1,0.5,"fugw",21,18,2,6,1
"uniform","clip",1,0.5,"fugw",14,8,9,0,4.36
"abundance","clip",1,0.75,"fugw",12,6,11,2,1
"hierarchy","clip",1,0.75,"fugw",21,18,2,6,1
"uniform","clip",1,0.75,"fugw",14,9,9,0,3.51
"abundance","clip",1,0.9,"fugw",12,8,11,1,1.14
"hierarchy","clip",1,0.9,"fugw",21,17,2,6,1
"uniform","clip",1,0.9,"fugw",12,8,11,0,2.78
"abundance","clip",1,1,"uot_molecular",11,3,12,1,1.99
"hierarchy","clip",1,1,"uot_molecular",18,7,5,4,3.46
"uniform","clip",1,1,"uot_molecular",12,6,11,0,5.19
"abundance","clip",3,0,"gw_only",3,2,20,1,2.45
"hierarchy","clip",3,0,"gw_only",2,0,21,0,3.89
"uniform","clip",3,0,"gw_only",1,0,22,0,4.9
