"row","col","value"
"0379 L5 ET CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0
"0421 L6b CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0
"0430 L6b CTX Glut_3","003 L5/6 IT TPE-ENT Glut",0
"0433 L6 CT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0
"0436 L6 CT CTX Glut_1","003 L5/6 IT TPE-ENT Glut",0
"0439 L6 CT CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0440 L6 CT CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0441 L6 CT CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0445 L6 CT CTX Glut_3","003 L5/6 IT TPE-ENT Glut",0
"0449 L6 CT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0
"0452 L6 CT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0
"0461 L5 NP CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0463 L5 NP CTX Glut_2","003 L5/6 IT TPE-ENT Glut",0
"0465 L5 NP CTX Glut_3","003 L5/6 IT TPE-ENT Glut",0
"0470 L5 NP CTX Glut_4","003 L5/6 IT TPE-ENT Glut",0
"0497 Vip Gaba_1","003 L5/6 IT TPE-ENT Glut",0
"0513 Vip Gaba_3","003 L5/6 IT TPE-ENT Glut",0
"0514 Vip Gaba_3","003 L5/6 IT TPE-ENT Glut",0
"0516 Vip Gaba_3","003 L5/6 IT TPE-ENT Glut",0
"0522 Vip Gaba_4","003 L5/6 IT TPE-ENT Glut",0
"0527 Vip Gaba_5","003 L5/6 IT TPE-ENT Glut",0
"0529 Vip Gaba_5","003 L5/6 IT TPE-ENT Glut",0
"0533 Vip Gaba_6","003 L5/6 IT TPE-ENT Glut",0
"0547 Sncg Gaba_6","003 L5/6 IT TPE-ENT Glut",0
"0553 Sncg Gaba_3","003 L5/6 IT TPE-ENT Glut",0
"0560 Sncg Gaba_4","003 L5/6 IT TPE-ENT Glut",0
"0580 Lamp5 Gaba_1","003 L5/6 IT TPE-ENT Glut",0
"0581 Lamp5 Gaba_1","003 L5/6 IT TPE-ENT Glut",0
"0582 Lamp5 Gaba_1","003 L5/6 IT TPE-ENT Glut",0
"0587 Lamp5 Gaba_2","003 L5/6 IT TPE-ENT Glut",0
"0605 Pvalb chandelier Gaba","003 L5/6 IT TPE-ENT Glut",0
"0607 Pvalb Gaba_1","003 L5/6 IT TPE-ENT Glut",0
"0618 Pvalb Gaba_3","003 L5/6 IT TPE-ENT Glut",0
"0619 Pvalb Gaba_3","003 L5/6 IT TPE-ENT Glut",0
"0621 Pvalb Gaba_3","003 L5/6 IT TPE-ENT Glut",0
"0620 Pvalb Gaba_8","003 L5/6 IT TPE-ENT Glut",0
"0624 Pvalb Gaba_4","003 L5/6 IT TPE-ENT Glut",0
"0628 Pvalb Gaba_4","003 L5/6 IT TPE-ENT Glut",0
"0625 Pvalb Gaba_5","003 L5/6 IT TPE-ENT Glut",0
"0638 Sst Gaba_1","003 L5/6 IT TPE-ENT Glut",0
"0641 Sst Gaba_12","003 L5/6 IT TPE-ENT Glut",0
"0631 Sst Gaba_13","003 L5/6 IT TPE-ENT Glut",0
"0664 Sst Gaba_4","003 L5/6 IT TPE-ENT Glut",0
"0666 Sst Gaba_4","003 L5/6 IT TPE-ENT Glut",0
"0668 Sst Gaba_4","003 L5/6 IT TPE-ENT Glut",0
"0669 Sst Gaba_4","003 L5/6 IT TPE-ENT Glut",0
"0665 Sst Gaba_11","003 L5/6 IT TPE-ENT Glut",0
"0675 Sst Gaba_5","003 L5/6 IT TPE-ENT Glut",0
"0677 Sst Gaba_5","003 L5/6 IT TPE-ENT Glut",0
"0673 Sst Gaba_16","003 L5/6 IT TPE-ENT Glut",0
"0688 Sst Gaba_7","003 L5/6 IT TPE-ENT Glut",0
"0697 Sst Gaba_8","003 L5/6 IT TPE-ENT Glut",0
"0695 Sst Gaba_10","003 L5/6 IT TPE-ENT Glut",0
"0731 Sst Chodl Gaba_4","003 L5/6 IT TPE-ENT Glut",0
"5113 Astro-TE NN_3","003 L5/6 IT TPE-ENT Glut",0
"5146 OPC NN_1","003 L5/6 IT TPE-ENT Glut",0
"5150 COP NN","003 L5/6 IT TPE-ENT Glut",0
"5152 COP NN","003 L5/6 IT TPE-ENT Glut",0
"5155 MFOL NN","003 L5/6 IT TPE-ENT Glut",0
"5158 MOL NN","003 L5/6 IT TPE-ENT Glut",0
"5182 Peri NN","003 L5/6 IT TPE-ENT Glut",0
"5188 Endo NN","003 L5/6 IT TPE-ENT Glut",0
"5190 Microglia NN","003 L5/6 IT TPE-ENT Glut",0
"0004 Car3 Glut_1","004 L6 IT CTX Glut",0
"0026 L5/6 IT TPE-ENT Glut_2","004 L6 IT CTX Glut",0
"0029 L5/6 IT TPE-ENT Glut_3","004 L6 IT CTX Glut",0.0588235294117647
"0034 L6 IT CTX Glut_1","004 L6 IT CTX Glut",0.183333333333333
"0035 L6 IT CTX Glut_1","004 L6 IT CTX Glut",0.704918032786885
"0036 L6 IT CTX Glut_1","004 L6 IT CTX Glut",0.745098039215686
"0037 L6 IT CTX Glut_1","004 L6 IT CTX Glut",0.230769230769231
"0038 L6 IT CTX Glut_2","004 L6 IT CTX Glut",0.53960396039604
"0041 L6 IT CTX Glut_2","004 L6 IT CTX Glut",0.89
"0042 L6 IT CTX Glut_2","004 L6 IT CTX Glut",0.816666666666667
"0044 L6 IT CTX Glut_3","004 L6 IT CTX Glut",0.0121951219512195
"0049 L6 IT CTX Glut_4","004 L6 IT CTX Glut",0.125
"0053 L6 IT CTX Glut_5","004 L6 IT CTX Glut",0.84070796460177
"0054 L6 IT CTX Glut_5","004 L6 IT CTX Glut",0.0919540229885057
"0055 L5 IT CTX Glut_1","004 L6 IT CTX Glut",0
"0056 L5 IT CTX Glut_1","004 L6 IT CTX Glut",0.0170454545454545
"0061 L5 IT CTX Glut_3","004 L6 IT CTX Glut",0
"0065 L5 IT CTX Glut_5","004 L6 IT CTX Glut",0.00666666666666667
"0069 L4/5 IT CTX Glut_1","004 L6 IT CTX Glut",0
"0072 L4/5 IT CTX Glut_1","004 L6 IT CTX Glut",0
"0075 L4/5 IT CTX Glut_2","004 L6 IT CTX Glut",0
"0076 L4/5 IT CTX Glut_2","004 L6 IT CTX Glut",0
"0078 L4/5 IT CTX Glut_2","004 L6 IT CTX Glut",0
"0083 L4/5 IT CTX Glut_3","004 L6 IT CTX Glut",0.00757575757575758
"0084 L4/5 IT CTX Glut_3","004 L6 IT CTX Glut",0
"0090 L4/5 IT CTX Glut_4","004 L6 IT CTX Glut",0
"0091 L4/5 IT CTX Glut_4","004 L6 IT CTX Glut",0
"0094 L4/5 IT CTX Glut_4","004 L6 IT CTX Glut",0
"0096 L4/5 IT CTX Glut_5","004 L6 IT CTX Glut",0
"0098 L4/5 IT CTX Glut_5","004 L6 IT CTX Glut",0
"0099 L4/5 IT CTX Glut_5","004 L6 IT CTX Glut",0
"0104 L2/3 IT CTX Glut_1","004 L6 IT CTX Glut",0
