"query","split_at","child","vote","child_auroc","is_best","is_second","auc_gap","sib_lo","par_lo","margin_pass","override","decision","true_path","case"
"0034 L6 IT CTX Glut_1","root","039 Lamp5 Gaba",0,0.168676832570275,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","041 Pvalb chandelier Gaba",0,0.418383793629695,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","042 Pvalb Gaba",0,0.294502412248314,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","043 Sst Gaba",0,0.28364594102299,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","046 Sst Chodl Gaba",0,0.562908728400532,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","287 Astro-TE NN",0,0.115029537734456,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","294 OPC NN",0,0.42998067739871,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","295 Oligo NN",0,0.215949145867179,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","299 Peri NN",0,0.208249027716241,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","301 Endo NN",0,0.170398882489046,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0034 L6 IT CTX Glut_1","root","302 Microglia NN",0,0.230553955594939,FALSE,FALSE,-0.00363264904248506,-0.0076577068872151,NA,FALSE,FALSE,"stop",FALSE,"deep-layer IT premature stop"
"0044 L6 IT CTX Glut_3","root","001 Car3 Glut",0,0.658937229266379,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","003 L5/6 IT TPE-ENT Glut",0.357723577235772,0.845600212401065,FALSE,TRUE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","004 L6 IT CTX Glut",0.0121951219512195,0.807066341846119,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",TRUE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","005 L5 IT CTX Glut",0.508130081300813,0.957416038193921,TRUE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","006 L4/5 IT CTX Glut",0.121951219512195,0.792505327965901,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","007 L2/3 IT CTX Glut",0,0.617317503713431,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","022 L5 ET CTX Glut",0,0.453504378380059,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","027 L6b CTX Glut",0,0.357307385960003,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","028 L6 CT CTX Glut",0,0.48549250496918,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","030 L5 NP CTX Glut",0,0.175575312681635,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","036 Vip Gaba",0,0.375357888618604,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","037 Sncg Gaba",0,0.238129877988983,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","039 Lamp5 Gaba",0,0.515264682104014,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","041 Pvalb chandelier Gaba",0,0.393437692099781,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","042 Pvalb Gaba",0,0.363619321321192,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","043 Sst Gaba",0,0.170411790172624,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","046 Sst Chodl Gaba",0,0.102037124740179,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","287 Astro-TE NN",0,0.272757171525819,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","294 OPC NN",0,0.214904042795944,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","295 Oligo NN",0,0.417670817815857,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
