"row","col","value"
"287 Astro-TE NN","0037 L6 IT CTX Glut_1",0
"294 OPC NN","0037 L6 IT CTX Glut_1",0
"295 Oligo NN","0037 L6 IT CTX Glut_1",0
"299 Peri NN","0037 L6 IT CTX Glut_1",0
"301 Endo NN","0037 L6 IT CTX Glut_1",0
"302 Microglia NN","0037 L6 IT CTX Glut_1",0
"001 Car3 Glut","0038 L6 IT CTX Glut_2",0
"003 L5/6 IT TPE-ENT Glut","0038 L6 IT CTX Glut_2",0
"004 L6 IT CTX Glut","0038 L6 IT CTX Glut_2",0.110077519379845
"005 L5 IT CTX Glut","0038 L6 IT CTX Glut_2",0.0601965601965602
"006 L4/5 IT CTX Glut","0038 L6 IT CTX Glut_2",0.000790097445351593
"007 L2/3 IT CTX Glut","0038 L6 IT CTX Glut_2",0
"022 L5 ET CTX Glut","0038 L6 IT CTX Glut_2",0.000618811881188119
"027 L6b CTX Glut","0038 L6 IT CTX Glut_2",0
"028 L6 CT CTX Glut","0038 L6 IT CTX Glut_2",0.000499001996007984
"030 L5 NP CTX Glut","0038 L6 IT CTX Glut_2",0
"036 Vip Gaba","0038 L6 IT CTX Glut_2",0
"037 Sncg Gaba","0038 L6 IT CTX Glut_2",0
"039 Lamp5 Gaba","0038 L6 IT CTX Glut_2",0
"041 Pvalb chandelier Gaba","0038 L6 IT CTX Glut_2",0
"042 Pvalb Gaba","0038 L6 IT CTX Glut_2",0
"043 Sst Gaba","0038 L6 IT CTX Glut_2",0
"046 Sst Chodl Gaba","0038 L6 IT CTX Glut_2",0
"287 Astro-TE NN","0038 L6 IT CTX Glut_2",0
"294 OPC NN","0038 L6 IT CTX Glut_2",0
"295 Oligo NN","0038 L6 IT CTX Glut_2",0
"299 Peri NN","0038 L6 IT CTX Glut_2",0
"301 Endo NN","0038 L6 IT CTX Glut_2",0
"302 Microglia NN","0038 L6 IT CTX Glut_2",0
"001 Car3 Glut","0041 L6 IT CTX Glut_2",0
"003 L5/6 IT TPE-ENT Glut","0041 L6 IT CTX Glut_2",0
"004 L6 IT CTX Glut","0041 L6 IT CTX Glut_2",0.112790697674419
"005 L5 IT CTX Glut","0041 L6 IT CTX Glut_2",0
"006 L4/5 IT CTX Glut","0041 L6 IT CTX Glut_2",0
"007 L2/3 IT CTX Glut","0041 L6 IT CTX Glut_2",0
"022 L5 ET CTX Glut","0041 L6 IT CTX Glut_2",0
"027 L6b CTX Glut","0041 L6 IT CTX Glut_2",0
"028 L6 CT CTX Glut","0041 L6 IT CTX Glut_2",0.000998003992015968
