cluster,curated_subclass,MetaArbor/primary,MetaArbor/seed977,OTHarmonizer/default,OTHarmonizer/v2_first,OTHarmonizer/v3_first,OTHarmonizer/v2f_r0,OTHarmonizer/v2f_r1,OTHarmonizer/v2f_r2,OTHarmonizer/v2f_r3,OTHarmonizer/v2f_r4,OTHarmonizer/v3f_r0,OTHarmonizer/v3f_r1,OTHarmonizer/v3f_r2,OTHarmonizer/v3f_r3,OTHarmonizer/v3f_r4
0668 Sst Gaba_4,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,root:
0669 Sst Gaba_4,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba
0673 Sst Gaba_16,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,exact:043 Sst Gaba
0675 Sst Gaba_5,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,root:,wrong_lineage:042 Pvalb Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,root:,exact:043 Sst Gaba
0677 Sst Gaba_5,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,root:,root:,exact:043 Sst Gaba,root:,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba
0688 Sst Gaba_7,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba
0695 Sst Gaba_10,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba
0697 Sst Gaba_8,043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba,exact:043 Sst Gaba
0731 Sst Chodl Gaba_4,046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba,exact:046 Sst Chodl Gaba
5113 Astro-TE NN_3,287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN,exact:287 Astro-TE NN
5146 OPC NN_1,294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN,exact:294 OPC NN
5150 COP NN,295 Oligo NN,exact:295 Oligo NN,exact:295 Oligo NN,root:,root:,root:,root:,root:,root:,root:,root:,root:,root:,root:,root:,root:
5152 COP NN,295 Oligo NN,exact:295 Oligo NN,exact:295 Oligo NN,root:,root:,root:,root:,root:,root:,root:,root:,root:,root:,root:,root:,root:
5155 MFOL NN,295 Oligo NN,exact:295 Oligo NN,exact:295 Oligo NN,exact:295 Oligo NN,exact:295 Oligo NN,root:,exact:295 Oligo NN,exact:295 Oligo NN,root:,exact:295 Oligo NN,root:,exact:295 Oligo NN,exact:295 Oligo NN,exact:295 Oligo NN,root:,root:
5158 MOL NN,295 Oligo NN,exact:295 Oligo NN,exact:295 Oligo NN,root:,root:,exact:295 Oligo NN,exact:295 Oligo NN,exact:295 Oligo NN,root:,exact:295 Oligo NN,root:,root:,root:,root:,root:,exact:295 Oligo NN
5182 Peri NN,299 Peri NN,exact:299 Peri NN,exact:299 Peri NN,exact:299 Peri NN,exact:299 Peri NN,exact:299 Peri NN,exact:299 Peri NN,root:,exact:299 Peri NN,exact:299 Peri NN,root:,exact:299 Peri NN,exact:299 Peri NN,root:,root:,exact:299 Peri NN
5188 Endo NN,301 Endo NN,consistent_coarse:299 Peri NN|301 Endo NN|302 Microglia NN,consistent_coarse:299 Peri NN|301 Endo NN|302 Microglia NN,exact:301 Endo NN,exact:301 Endo NN,exact:301 Endo NN,exact:301 Endo NN,exact:301 Endo NN,exact:301 Endo NN,exact:301 Endo NN,exact:301 Endo NN,exact:301 Endo NN,exact:301 Endo NN,exact:301 Endo NN,exact:301 Endo NN,exact:301 Endo NN
5190 Microglia NN,302 Microglia NN,exact:302 Microglia NN,exact:302 Microglia NN,root:,root:,root:,root:,exact:302 Microglia NN,exact:302 Microglia NN,root:,root:,root:,root:,root:,root:,root:
