"query","argmax_correct","true_mass","fam_margin","H_family","H_within","eff_leaves","n_true","eff_ratio","category","condition"
"001 Car3 Glut",TRUE,0.980088733636805,0.960177467273666,0.097693576762161,0,1.10262486345685,1,1.10262486345685,"confident_correct","donor"
"003 L5/6 IT TPE-ENT Glut",TRUE,0.647048079023378,0.335479975945934,0.776815551176349,0.68995540747953,3.39821356743658,2,1.69910678371829,"underconfident_correct","donor"
"004 L6 IT CTX Glut",TRUE,1,1,-2.22044604925031e-16,2.13612816665384,8.46659284864032,11,0.769690258967302,"confident_correct","donor"
"005 L5 IT CTX Glut",TRUE,0.643699948247168,0.287399896494335,0.651259623940264,0.680426262154894,2.97204412507621,3,0.990681375025404,"underconfident_correct","donor"
"006 L4/5 IT CTX Glut",TRUE,1,1,3.33066907387547e-16,2.23688944728702,9.36415823100972,13,0.720319863923825,"confident_correct","donor"
"007 L2/3 IT CTX Glut",TRUE,0.963334942290109,0.926669884580218,0.157196679476205,1.29463670963091,4.07294147454214,4,1.01823536863553,"confident_correct","donor"
"022 L5 ET CTX Glut",TRUE,1,1,1.11022302462516e-16,1.78770319299371,5.9757116360528,6,0.995951939342134,"confident_correct","donor"
"027 L6b CTX Glut",TRUE,0.919183457959005,0.83836691591801,0.280759135310315,0.692459821120522,2.50241620763859,2,1.25120810381929,"confident_correct","donor"
"028 L6 CT CTX Glut",TRUE,1,1,1.79128292336509e-317,1.90354480187722,6.70963666933338,8,0.838704583666673,"confident_correct","donor"
"030 L5 NP CTX Glut",TRUE,1,1,-2.22044604925031e-16,1.32994223763833,3.78082499188072,4,0.945206247970179,"confident_correct","donor"
"036 Vip Gaba",TRUE,1,1,1.83566139398671e-148,1.99614545105225,7.3606294416864,8,0.9200786802108,"confident_correct","donor"
"037 Sncg Gaba",TRUE,1,1,4.57487246310238e-96,1.09828368043642,2.99901433726226,3,0.999671445754087,"confident_correct","donor"
"039 Lamp5 Gaba",TRUE,1,1,9.33114858722664e-317,1.35085964713684,3.86074298122413,4,0.965185745306032,"confident_correct","donor"
"041 Pvalb chandelier Gaba",TRUE,1,1,7.83144642652231e-176,0,1,1,1,"confident_correct","donor"
"042 Pvalb Gaba",TRUE,0.971244453478712,0.942488906957424,0.130389351570727,1.96336480751224,7.66984595452976,8,0.95873074431622,"confident_correct","donor"
"043 Sst Gaba",TRUE,1,1,-2.22044604925031e-16,2.44495736433921,11.5300579967174,14,0.823575571194099,"confident_correct","donor"
"046 Sst Chodl Gaba",TRUE,1,1,2.39559970603132e-160,0,1,1,1,"confident_correct","donor"
"287 Astro-TE NN",TRUE,1,1,2.26816150758445e-318,0,1,1,1,"confident_correct","donor"
"294 OPC NN",TRUE,1,1,1.00044885709909e-92,0,1,1,1,"confident_correct","donor"
"295 Oligo NN",TRUE,1,1,1.26454386776142e-259,0.691620752164539,1.99694947200777,2,0.998474736003884,"confident_correct","donor"
"299 Peri NN",TRUE,1,1,5.11392449039664e-146,0,1,1,1,"confident_correct","donor"
"301 Endo NN",TRUE,1,1,1.57161545296384e-182,0,1,1,1,"confident_correct","donor"
