"query","selected","auroc","compactness","relation","correct"
"0677 Sst Gaba_5","043 Sst Gaba",0.953973569876901,1,"leaf",TRUE
"0688 Sst Gaba_7","043 Sst Gaba",0.963676933310061,1,"leaf",TRUE
"0695 Sst Gaba_10","043 Sst Gaba",0.961753175992188,0.987012987012987,"leaf",TRUE
"0697 Sst Gaba_8","043 Sst Gaba",0.951848619998707,0.9,"leaf",TRUE
"0731 Sst Chodl Gaba_4","046 Sst Chodl Gaba",1,1,"leaf",TRUE
"5113 Astro-TE NN_3","287 Astro-TE NN",1,1,"leaf",TRUE
"5146 OPC NN_1","294 OPC NN",1,1,"leaf",TRUE
"5150 COP NN","294 OPC NN",0.977983692342405,0.916083916083916,"leaf",FALSE
"5152 COP NN",NA,NA,NA,"discordant",FALSE
"5155 MFOL NN","295 Oligo NN",0.999079147916969,1,"leaf",TRUE
"5158 MOL NN","295 Oligo NN",0.994869049377246,0.996666666666667,"leaf",TRUE
"5182 Peri NN","299 Peri NN",0.999996307783193,1,"leaf",TRUE
"5188 Endo NN","301 Endo NN",0.99854895879486,0.973333333333333,"leaf",TRUE
"5190 Microglia NN","302 Microglia NN",0.999988431054005,0.996666666666667,"leaf",TRUE
