query,parent,depth,sibling,auc_correct,auc_sibling,global_gap,local_pref
027 L6b CTX Glut,root,1,05 MGE GABA,0.9533,0.5157,0.4376,1.0
027 L6b CTX Glut,root,1,06 CNU GABA,0.9533,0.5818,0.3715,1.0
027 L6b CTX Glut,root,1,28 Astro-Epen,0.9533,0.4233,0.53,1.0
027 L6b CTX Glut,root,1,29 Oligo,0.9533,0.2847,0.6686,1.0
027 L6b CTX Glut,root,1,31 Vascular,0.9533,0.1287,0.8246,1.0
027 L6b CTX Glut,root,1,32 Immune,0.9533,0.1565,0.7968,1.0
027 L6b CTX Glut,02 NP-CT-L6b Glut,2,028 L6 CT CTX Glut,0.9996,0.9083,0.0913,0.0
027 L6b CTX Glut,02 NP-CT-L6b Glut,2,030 L5 NP CTX Glut,0.9996,0.9104,0.0892,0.0
028 L6 CT CTX Glut,root,1,01 IT-ET Glut,0.9232,0.4671,0.4561,1.0
028 L6 CT CTX Glut,root,1,04 CGE GABA,0.9232,0.1589,0.7643,1.0
028 L6 CT CTX Glut,root,1,05 MGE GABA,0.9232,0.1909,0.7323,1.0
028 L6 CT CTX Glut,root,1,06 CNU GABA,0.9232,0.2864,0.6368,1.0
028 L6 CT CTX Glut,root,1,28 Astro-Epen,0.9232,0.4565,0.4667,0.9995
028 L6 CT CTX Glut,root,1,29 Oligo,0.9232,0.4084,0.5148,1.0
028 L6 CT CTX Glut,root,1,31 Vascular,0.9232,0.4823,0.4409,1.0
028 L6 CT CTX Glut,root,1,32 Immune,0.9232,0.4313,0.4919,1.0
028 L6 CT CTX Glut,02 NP-CT-L6b Glut,2,027 L6b CTX Glut,0.9988,0.9263,0.0725,1.0
028 L6 CT CTX Glut,02 NP-CT-L6b Glut,2,030 L5 NP CTX Glut,0.9988,0.6974,0.3014,1.0
030 L5 NP CTX Glut,root,1,01 IT-ET Glut,0.9853,0.3761,0.6093,0.9982
030 L5 NP CTX Glut,root,1,04 CGE GABA,0.9853,0.3541,0.6312,1.0
030 L5 NP CTX Glut,root,1,05 MGE GABA,0.9853,0.6147,0.3707,1.0
030 L5 NP CTX Glut,root,1,06 CNU GABA,0.9853,0.6072,0.3781,1.0
030 L5 NP CTX Glut,root,1,28 Astro-Epen,0.9853,0.3599,0.6255,0.9849
030 L5 NP CTX Glut,root,1,29 Oligo,0.9853,0.1431,0.8422,0.9964
030 L5 NP CTX Glut,root,1,31 Vascular,0.9853,0.1425,0.8428,1.0
030 L5 NP CTX Glut,root,1,32 Immune,0.9853,0.0305,0.9549,1.0
030 L5 NP CTX Glut,02 NP-CT-L6b Glut,2,027 L6b CTX Glut,0.9995,0.9506,0.0489,1.0
030 L5 NP CTX Glut,02 NP-CT-L6b Glut,2,028 L6 CT CTX Glut,0.9995,0.8741,0.1254,0.9475
036 Vip Gaba,root,1,01 IT-ET Glut,0.9701,0.247,0.723,0.8787
036 Vip Gaba,root,1,02 NP-CT-L6b Glut,0.9701,0.1581,0.812,0.7782
036 Vip Gaba,root,1,05 MGE GABA,0.9701,0.7614,0.2087,0.9915
036 Vip Gaba,root,1,06 CNU GABA,0.9701,0.8549,0.1152,1.0
036 Vip Gaba,root,1,28 Astro-Epen,0.9701,0.7353,0.2348,0.0278
036 Vip Gaba,root,1,29 Oligo,0.9701,0.8042,0.1659,0.0077
036 Vip Gaba,root,1,31 Vascular,0.9701,0.4259,0.5442,0.4853
036 Vip Gaba,root,1,32 Immune,0.9701,0.5456,0.4245,0.2295
036 Vip Gaba,04 CGE GABA,2,037 Sncg Gaba,0.9995,0.9722,0.0273,1.0
036 Vip Gaba,04 CGE GABA,2,039 Lamp5 Gaba,0.9995,0.9333,0.0661,0.0039
037 Sncg Gaba,root,1,01 IT-ET Glut,0.973,0.2212,0.7518,0.89
037 Sncg Gaba,root,1,02 NP-CT-L6b Glut,0.973,0.0666,0.9065,0.9593
037 Sncg Gaba,root,1,05 MGE GABA,0.973,0.7502,0.2228,0.9928
037 Sncg Gaba,root,1,06 CNU GABA,0.973,0.8603,0.1127,1.0
037 Sncg Gaba,root,1,28 Astro-Epen,0.973,0.8978,0.0752,0.0
037 Sncg Gaba,root,1,29 Oligo,0.973,0.8496,0.1235,0.0
037 Sncg Gaba,root,1,31 Vascular,0.973,0.7187,0.2543,0.0885
037 Sncg Gaba,root,1,32 Immune,0.973,0.8199,0.1531,0.0263
037 Sncg Gaba,04 CGE GABA,2,036 Vip Gaba,1.0,0.9395,0.0605,0.0
037 Sncg Gaba,04 CGE GABA,2,039 Lamp5 Gaba,1.0,0.941,0.059,0.0
039 Lamp5 Gaba,root,1,01 IT-ET Glut,0.9427,0.1301,0.8126,0.9746
039 Lamp5 Gaba,root,1,02 NP-CT-L6b Glut,0.9427,0.2126,0.7301,0.6494
039 Lamp5 Gaba,root,1,05 MGE GABA,0.9427,0.7964,0.1464,0.9068
039 Lamp5 Gaba,root,1,06 CNU GABA,0.9427,0.7513,0.1914,1.0
039 Lamp5 Gaba,root,1,28 Astro-Epen,0.9427,0.7809,0.1618,0.0053
039 Lamp5 Gaba,root,1,29 Oligo,0.9427,0.881,0.0618,0.0042
039 Lamp5 Gaba,root,1,31 Vascular,0.9427,0.8043,0.1384,0.0445
039 Lamp5 Gaba,root,1,32 Immune,0.9427,0.8335,0.1092,0.0286
039 Lamp5 Gaba,04 CGE GABA,2,036 Vip Gaba,0.9997,0.915,0.0847,1.0
039 Lamp5 Gaba,04 CGE GABA,2,037 Sncg Gaba,0.9997,0.9257,0.074,1.0
041 Pvalb chandelier Gaba,root,1,01 IT-ET Glut,0.835,0.1884,0.6466,0.9742
041 Pvalb chandelier Gaba,root,1,02 NP-CT-L6b Glut,0.835,0.1244,0.7106,0.8968
041 Pvalb chandelier Gaba,root,1,04 CGE GABA,0.835,0.8737,-0.0388,0.9935
041 Pvalb chandelier Gaba,root,1,06 CNU GABA,0.835,0.7489,0.0861,1.0
041 Pvalb chandelier Gaba,root,1,28 Astro-Epen,0.835,0.7221,0.1128,0.0129
041 Pvalb chandelier Gaba,root,1,29 Oligo,0.835,0.7605,0.0745,0.0065
041 Pvalb chandelier Gaba,root,1,31 Vascular,0.835,0.8409,-0.0059,0.0194
041 Pvalb chandelier Gaba,root,1,32 Immune,0.835,0.8736,-0.0387,0.0129
041 Pvalb chandelier Gaba,05 MGE GABA,2,042 Pvalb Gaba,1.0,0.9472,0.0528,0.0
041 Pvalb chandelier Gaba,05 MGE GABA,2,043 Sst Gaba,1.0,0.7498,0.2502,0.0065
042 Pvalb Gaba,root,1,01 IT-ET Glut,0.9617,0.0845,0.8772,0.9888
042 Pvalb Gaba,root,1,02 NP-CT-L6b Glut,0.9617,0.1599,0.8018,0.8371
042 Pvalb Gaba,root,1,04 CGE GABA,0.9617,0.7926,0.1691,1.0
042 Pvalb Gaba,root,1,06 CNU GABA,0.9617,0.776,0.1857,1.0
042 Pvalb Gaba,root,1,28 Astro-Epen,0.9617,0.8465,0.1153,0.0088
042 Pvalb Gaba,root,1,29 Oligo,0.9617,0.8676,0.0942,0.012
042 Pvalb Gaba,root,1,31 Vascular,0.9617,0.9184,0.0433,0.0144
042 Pvalb Gaba,root,1,32 Immune,0.9617,0.8932,0.0685,0.0169
042 Pvalb Gaba,05 MGE GABA,2,041 Pvalb chandelier Gaba,0.9984,0.9598,0.0386,1.0
042 Pvalb Gaba,05 MGE GABA,2,043 Sst Gaba,0.9984,0.8607,0.1377,1.0
043 Sst Gaba,root,1,01 IT-ET Glut,0.9554,0.1199,0.8355,0.9823
043 Sst Gaba,root,1,02 NP-CT-L6b Glut,0.9554,0.2415,0.7139,0.6609
043 Sst Gaba,root,1,04 CGE GABA,0.9554,0.8157,0.1397,1.0
043 Sst Gaba,root,1,06 CNU GABA,0.9554,0.9717,-0.0163,1.0
043 Sst Gaba,root,1,28 Astro-Epen,0.9554,0.8453,0.1101,0.0083
043 Sst Gaba,root,1,29 Oligo,0.9554,0.78,0.1753,0.0149
043 Sst Gaba,root,1,31 Vascular,0.9554,0.8016,0.1538,0.0483
043 Sst Gaba,root,1,32 Immune,0.9554,0.7682,0.1872,0.0503
043 Sst Gaba,05 MGE GABA,2,041 Pvalb chandelier Gaba,0.9972,0.8002,0.197,1.0
043 Sst Gaba,05 MGE GABA,2,042 Pvalb Gaba,0.9972,0.9094,0.0877,0.0054
046 Sst Chodl Gaba,root,1,01 IT-ET Glut,1.0,0.1769,0.8231,0.0
046 Sst Chodl Gaba,root,1,02 NP-CT-L6b Glut,1.0,0.4134,0.5866,0.0
046 Sst Chodl Gaba,root,1,04 CGE GABA,1.0,0.8623,0.1377,0.0
046 Sst Chodl Gaba,root,1,05 MGE GABA,1.0,0.8253,0.1747,0.0
046 Sst Chodl Gaba,root,1,28 Astro-Epen,1.0,0.711,0.289,0.0055
046 Sst Chodl Gaba,root,1,29 Oligo,1.0,0.7095,0.2905,0.0
046 Sst Chodl Gaba,root,1,31 Vascular,1.0,0.6611,0.3389,0.022
046 Sst Chodl Gaba,root,1,32 Immune,1.0,0.7531,0.2469,0.022
287 Astro-TE NN,root,1,01 IT-ET Glut,1.0,0.1747,0.8253,1.0
287 Astro-TE NN,root,1,02 NP-CT-L6b Glut,1.0,0.5455,0.4545,1.0
287 Astro-TE NN,root,1,04 CGE GABA,1.0,0.6659,0.3341,1.0
287 Astro-TE NN,root,1,05 MGE GABA,1.0,0.6607,0.3393,1.0
287 Astro-TE NN,root,1,06 CNU GABA,1.0,0.5657,0.4343,1.0
287 Astro-TE NN,root,1,29 Oligo,1.0,0.972,0.028,1.0
287 Astro-TE NN,root,1,31 Vascular,1.0,0.9899,0.0101,1.0
287 Astro-TE NN,root,1,32 Immune,1.0,0.9688,0.0312,1.0
294 OPC NN,root,1,01 IT-ET Glut,0.9846,0.1593,0.8253,1.0
294 OPC NN,root,1,02 NP-CT-L6b Glut,0.9846,0.3692,0.6154,0.9967
294 OPC NN,root,1,04 CGE GABA,0.9846,0.7157,0.2688,1.0
294 OPC NN,root,1,05 MGE GABA,0.9846,0.6816,0.303,1.0
294 OPC NN,root,1,06 CNU GABA,0.9846,0.8221,0.1625,1.0
294 OPC NN,root,1,28 Astro-Epen,0.9846,0.985,-0.0004,0.0
294 OPC NN,root,1,31 Vascular,0.9846,0.9311,0.0535,0.1267
294 OPC NN,root,1,32 Immune,0.9846,0.8362,0.1484,0.4333
294 OPC NN,29 Oligo,2,295 Oligo NN,1.0,0.9799,0.0201,1.0
295 Oligo NN,root,1,01 IT-ET Glut,0.9989,0.1909,0.808,1.0
295 Oligo NN,root,1,02 NP-CT-L6b Glut,0.9989,0.239,0.7599,1.0
295 Oligo NN,root,1,04 CGE GABA,0.9989,0.6813,0.3175,1.0
295 Oligo NN,root,1,05 MGE GABA,0.9989,0.6774,0.3215,1.0
295 Oligo NN,root,1,06 CNU GABA,0.9989,0.6188,0.3801,1.0
295 Oligo NN,root,1,28 Astro-Epen,0.9989,0.9677,0.0312,0.0
295 Oligo NN,root,1,31 Vascular,0.9989,0.9724,0.0265,0.0217
295 Oligo NN,root,1,32 Immune,0.9989,0.9855,0.0133,0.0062
295 Oligo NN,29 Oligo,2,294 OPC NN,0.9999,0.9748,0.0251,0.0
299 Peri NN,root,1,01 IT-ET Glut,0.9945,0.315,0.6795,1.0
299 Peri NN,root,1,02 NP-CT-L6b Glut,0.9945,0.3539,0.6406,1.0
299 Peri NN,root,1,04 CGE GABA,0.9945,0.5083,0.4862,1.0
299 Peri NN,root,1,05 MGE GABA,0.9945,0.6518,0.3428,1.0
299 Peri NN,root,1,06 CNU GABA,0.9945,0.48,0.5146,1.0
299 Peri NN,root,1,28 Astro-Epen,0.9945,0.9678,0.0268,0.6829
299 Peri NN,root,1,29 Oligo,0.9945,0.8811,0.1134,1.0
299 Peri NN,root,1,32 Immune,0.9945,0.9711,0.0234,0.9024
