level,tier,a,b,n_a,n_b,signed,unsigned
cluster,cross_class,0624 Pvalb Gaba_4,5158 MOL NN,10,134,1.0,1.0
cluster,cross_class,0628 Pvalb Gaba_4,0731 Sst Chodl Gaba_4,57,9,1.0,1.0
cluster,cross_class,0628 Pvalb Gaba_4,5188 Endo NN,57,154,1.0,1.0
cluster,cross_class,0631 Sst Gaba_13,5152 COP NN,30,36,1.0,1.0
cluster,cross_class,0638 Sst Gaba_1,5113 Astro-TE NN_3,15,183,1.0,1.0
cluster,cross_class,0664 Sst Gaba_4,5113 Astro-TE NN_3,12,183,1.0,1.0
cluster,cross_class,0665 Sst Gaba_11,5158 MOL NN,7,134,1.0,1.0
cluster,cross_class,0668 Sst Gaba_4,5113 Astro-TE NN_3,17,183,1.0,1.0
cluster,cross_class,0668 Sst Gaba_4,5150 COP NN,17,75,1.0,1.0
cluster,cross_class,0675 Sst Gaba_5,5155 MFOL NN,14,34,1.0,1.0
cluster,cross_class,0695 Sst Gaba_10,5188 Endo NN,42,154,1.0,1.0
cluster,cross_class,0697 Sst Gaba_8,5146 OPC NN_1,49,167,1.0,1.0
cluster,cross_class,0697 Sst Gaba_8,5182 Peri NN,49,167,1.0,1.0
cluster,cross_class,5113 Astro-TE NN_3,5152 COP NN,183,36,1.0,1.0
cluster,cross_class,5146 OPC NN_1,5182 Peri NN,167,167,1.0,1.0
supertype_sibling,003 L5/6 IT TPE-ENT Glut,0008 L5/6 IT TPE-ENT Glut_2,0009 L5/6 IT TPE-ENT Glut_3,17,17,0.9965,0.9965
supertype_sibling,004 L6 IT CTX Glut,0013 L6 IT CTX Glut_1,0014 L6 IT CTX Glut_2,202,221,0.9729,0.9729
supertype_sibling,004 L6 IT CTX Glut,0013 L6 IT CTX Glut_1,0015 L6 IT CTX Glut_3,202,101,1.0,1.0
supertype_sibling,004 L6 IT CTX Glut,0013 L6 IT CTX Glut_1,0016 L6 IT CTX Glut_4,202,31,0.9998,0.9998
supertype_sibling,004 L6 IT CTX Glut,0013 L6 IT CTX Glut_1,0017 L6 IT CTX Glut_5,202,78,0.9766,0.9766
supertype_sibling,004 L6 IT CTX Glut,0014 L6 IT CTX Glut_2,0015 L6 IT CTX Glut_3,221,101,0.9927,0.9927
supertype_sibling,004 L6 IT CTX Glut,0014 L6 IT CTX Glut_2,0016 L6 IT CTX Glut_4,221,31,1.0,1.0
supertype_sibling,004 L6 IT CTX Glut,0014 L6 IT CTX Glut_2,0017 L6 IT CTX Glut_5,221,78,0.9137,0.9137
supertype_sibling,004 L6 IT CTX Glut,0015 L6 IT CTX Glut_3,0016 L6 IT CTX Glut_4,101,31,1.0,1.0
supertype_sibling,004 L6 IT CTX Glut,0015 L6 IT CTX Glut_3,0017 L6 IT CTX Glut_5,101,78,0.9857,0.9857
supertype_sibling,004 L6 IT CTX Glut,0016 L6 IT CTX Glut_4,0017 L6 IT CTX Glut_5,31,78,0.9975,0.9975
supertype_sibling,005 L5 IT CTX Glut,0018 L5 IT CTX Glut_1,0020 L5 IT CTX Glut_3,186,30,0.9276,0.9276
supertype_sibling,005 L5 IT CTX Glut,0018 L5 IT CTX Glut_1,0022 L5 IT CTX Glut_5,186,141,0.999,0.999
supertype_sibling,005 L5 IT CTX Glut,0020 L5 IT CTX Glut_3,0022 L5 IT CTX Glut_5,30,141,1.0,1.0
supertype_sibling,006 L4/5 IT CTX Glut,0023 L4/5 IT CTX Glut_1,0024 L4/5 IT CTX Glut_2,234,246,0.9986,0.9986
supertype_sibling,006 L4/5 IT CTX Glut,0023 L4/5 IT CTX Glut_1,0025 L4/5 IT CTX Glut_3,234,201,0.9913,0.9913
supertype_sibling,006 L4/5 IT CTX Glut,0023 L4/5 IT CTX Glut_1,0026 L4/5 IT CTX Glut_4,234,271,0.9731,0.9731
supertype_sibling,006 L4/5 IT CTX Glut,0023 L4/5 IT CTX Glut_1,0027 L4/5 IT CTX Glut_5,234,360,0.9884,0.9884
supertype_sibling,006 L4/5 IT CTX Glut,0024 L4/5 IT CTX Glut_2,0025 L4/5 IT CTX Glut_3,246,201,1.0,1.0
supertype_sibling,006 L4/5 IT CTX Glut,0024 L4/5 IT CTX Glut_2,0026 L4/5 IT CTX Glut_4,246,271,1.0,1.0
supertype_sibling,006 L4/5 IT CTX Glut,0024 L4/5 IT CTX Glut_2,0027 L4/5 IT CTX Glut_5,246,360,0.9872,0.9872
supertype_sibling,006 L4/5 IT CTX Glut,0025 L4/5 IT CTX Glut_3,0026 L4/5 IT CTX Glut_4,201,271,0.9105,0.9105
supertype_sibling,006 L4/5 IT CTX Glut,0025 L4/5 IT CTX Glut_3,0027 L4/5 IT CTX Glut_5,201,360,1.0,1.0
supertype_sibling,006 L4/5 IT CTX Glut,0026 L4/5 IT CTX Glut_4,0027 L4/5 IT CTX Glut_5,271,360,0.9856,0.9856
supertype_sibling,007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,0030 L2/3 IT CTX Glut_2,271,138,0.9738,0.9738
supertype_sibling,022 L5 ET CTX Glut,0089 L5 ET CTX Glut_1,0090 L5 ET CTX Glut_2,129,54,0.9261,0.9261
supertype_sibling,022 L5 ET CTX Glut,0089 L5 ET CTX Glut_1,0093 L5 ET CTX Glut_5,129,86,0.9927,0.9927
supertype_sibling,022 L5 ET CTX Glut,0090 L5 ET CTX Glut_2,0093 L5 ET CTX Glut_5,54,86,0.9935,0.9935
supertype_sibling,027 L6b CTX Glut,0106 L6b CTX Glut_1,0108 L6b CTX Glut_3,8,10,1.0,1.0
supertype_sibling,028 L6 CT CTX Glut,0110 L6 CT CTX Glut_1,0111 L6 CT CTX Glut_2,241,133,0.9235,0.9235
supertype_sibling,028 L6 CT CTX Glut,0110 L6 CT CTX Glut_1,0112 L6 CT CTX Glut_3,241,27,1.0,1.0
supertype_sibling,028 L6 CT CTX Glut,0110 L6 CT CTX Glut_1,0114 L6 CT CTX Glut_5,241,118,0.9966,0.9966
supertype_sibling,028 L6 CT CTX Glut,0111 L6 CT CTX Glut_2,0112 L6 CT CTX Glut_3,133,27,1.0,1.0
supertype_sibling,028 L6 CT CTX Glut,0111 L6 CT CTX Glut_2,0114 L6 CT CTX Glut_5,133,118,0.9711,0.9711
supertype_sibling,028 L6 CT CTX Glut,0112 L6 CT CTX Glut_3,0114 L6 CT CTX Glut_5,27,118,0.9881,0.9881
supertype_sibling,030 L5 NP CTX Glut,0119 L5 NP CTX Glut_2,0120 L5 NP CTX Glut_3,119,139,0.9571,0.9571
supertype_sibling,030 L5 NP CTX Glut,0119 L5 NP CTX Glut_2,0121 L5 NP CTX Glut_4,119,17,0.998,0.998
supertype_sibling,030 L5 NP CTX Glut,0120 L5 NP CTX Glut_3,0121 L5 NP CTX Glut_4,139,17,0.9831,0.9831
supertype_sibling,036 Vip Gaba,0133 Vip Gaba_1,0135 Vip Gaba_3,18,53,1.0,1.0
supertype_sibling,036 Vip Gaba,0133 Vip Gaba_1,0136 Vip Gaba_4,18,19,1.0,1.0
supertype_sibling,036 Vip Gaba,0133 Vip Gaba_1,0137 Vip Gaba_5,18,96,1.0,1.0
supertype_sibling,036 Vip Gaba,0133 Vip Gaba_1,0138 Vip Gaba_6,18,29,1.0,1.0
supertype_sibling,036 Vip Gaba,0135 Vip Gaba_3,0136 Vip Gaba_4,53,19,1.0,1.0
supertype_sibling,036 Vip Gaba,0135 Vip Gaba_3,0137 Vip Gaba_5,53,96,0.9971,0.9971
supertype_sibling,036 Vip Gaba,0135 Vip Gaba_3,0138 Vip Gaba_6,53,29,0.9961,0.9961
supertype_sibling,036 Vip Gaba,0136 Vip Gaba_4,0137 Vip Gaba_5,19,96,0.9995,0.9995
supertype_sibling,036 Vip Gaba,0136 Vip Gaba_4,0138 Vip Gaba_6,19,29,1.0,1.0
supertype_sibling,036 Vip Gaba,0137 Vip Gaba_5,0138 Vip Gaba_6,96,29,1.0,1.0
supertype_sibling,037 Sncg Gaba,0141a Sncg Gaba_6,0142 Sncg Gaba_3,16,13,1.0,1.0
supertype_sibling,037 Sncg Gaba,0141a Sncg Gaba_6,0143 Sncg Gaba_4,16,12,1.0,1.0
supertype_sibling,037 Sncg Gaba,0142 Sncg Gaba_3,0143 Sncg Gaba_4,13,12,1.0,1.0
supertype_sibling,039 Lamp5 Gaba,0148 Lamp5 Gaba_1,0149 Lamp5 Gaba_2,161,13,1.0,1.0
supertype_sibling,042 Pvalb Gaba,0154 Pvalb Gaba_1,0156 Pvalb Gaba_3,25,224,1.0,1.0
supertype_sibling,042 Pvalb Gaba,0154 Pvalb Gaba_1,0156a Pvalb Gaba_8,25,47,1.0,1.0
supertype_sibling,042 Pvalb Gaba,0154 Pvalb Gaba_1,0157 Pvalb Gaba_4,25,67,0.9994,0.9994
supertype_sibling,042 Pvalb Gaba,0154 Pvalb Gaba_1,0158 Pvalb Gaba_5,25,19,1.0,1.0
supertype_sibling,042 Pvalb Gaba,0156 Pvalb Gaba_3,0156a Pvalb Gaba_8,224,47,0.981,0.981
supertype_sibling,042 Pvalb Gaba,0156 Pvalb Gaba_3,0157 Pvalb Gaba_4,224,67,0.9999,0.9999
supertype_sibling,042 Pvalb Gaba,0156 Pvalb Gaba_3,0158 Pvalb Gaba_5,224,19,0.9807,0.9807
supertype_sibling,042 Pvalb Gaba,0156a Pvalb Gaba_8,0157 Pvalb Gaba_4,47,67,0.9994,0.9994
supertype_sibling,042 Pvalb Gaba,0156a Pvalb Gaba_8,0158 Pvalb Gaba_5,47,19,0.9955,0.9955
supertype_sibling,042 Pvalb Gaba,0157 Pvalb Gaba_4,0158 Pvalb Gaba_5,67,19,1.0,1.0
supertype_sibling,043 Sst Gaba,0159 Sst Gaba_1,0159a Sst Gaba_12,15,17,0.9961,0.9961
supertype_sibling,043 Sst Gaba,0159 Sst Gaba_1,0159b Sst Gaba_13,15,30,1.0,1.0
supertype_sibling,043 Sst Gaba,0159 Sst Gaba_1,0162 Sst Gaba_4,15,96,1.0,1.0
supertype_sibling,043 Sst Gaba,0159 Sst Gaba_1,0162a Sst Gaba_11,15,7,1.0,1.0
supertype_sibling,043 Sst Gaba,0159 Sst Gaba_1,0163 Sst Gaba_5,15,28,1.0,1.0
supertype_sibling,043 Sst Gaba,0159 Sst Gaba_1,0163a Sst Gaba_16,15,17,1.0,1.0
supertype_sibling,043 Sst Gaba,0159 Sst Gaba_1,0165 Sst Gaba_7,15,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0159 Sst Gaba_1,0166 Sst Gaba_8,15,49,1.0,1.0
supertype_sibling,043 Sst Gaba,0159 Sst Gaba_1,0166a Sst Gaba_10,15,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0159a Sst Gaba_12,0159b Sst Gaba_13,17,30,0.998,0.998
supertype_sibling,043 Sst Gaba,0159a Sst Gaba_12,0162 Sst Gaba_4,17,96,1.0,1.0
supertype_sibling,043 Sst Gaba,0159a Sst Gaba_12,0162a Sst Gaba_11,17,7,1.0,1.0
supertype_sibling,043 Sst Gaba,0159a Sst Gaba_12,0163 Sst Gaba_5,17,28,1.0,1.0
supertype_sibling,043 Sst Gaba,0159a Sst Gaba_12,0163a Sst Gaba_16,17,17,1.0,1.0
supertype_sibling,043 Sst Gaba,0159a Sst Gaba_12,0165 Sst Gaba_7,17,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0159a Sst Gaba_12,0166 Sst Gaba_8,17,49,1.0,1.0
supertype_sibling,043 Sst Gaba,0159a Sst Gaba_12,0166a Sst Gaba_10,17,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0159b Sst Gaba_13,0162 Sst Gaba_4,30,96,0.9983,0.9983
supertype_sibling,043 Sst Gaba,0159b Sst Gaba_13,0162a Sst Gaba_11,30,7,1.0,1.0
supertype_sibling,043 Sst Gaba,0159b Sst Gaba_13,0163 Sst Gaba_5,30,28,0.9917,0.9917
supertype_sibling,043 Sst Gaba,0159b Sst Gaba_13,0163a Sst Gaba_16,30,17,1.0,1.0
supertype_sibling,043 Sst Gaba,0159b Sst Gaba_13,0165 Sst Gaba_7,30,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0159b Sst Gaba_13,0166 Sst Gaba_8,30,49,1.0,1.0
supertype_sibling,043 Sst Gaba,0159b Sst Gaba_13,0166a Sst Gaba_10,30,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0162 Sst Gaba_4,0162a Sst Gaba_11,96,7,0.9658,0.9658
supertype_sibling,043 Sst Gaba,0162 Sst Gaba_4,0163 Sst Gaba_5,96,28,1.0,1.0
supertype_sibling,043 Sst Gaba,0162 Sst Gaba_4,0163a Sst Gaba_16,96,17,1.0,1.0
supertype_sibling,043 Sst Gaba,0162 Sst Gaba_4,0165 Sst Gaba_7,96,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0162 Sst Gaba_4,0166 Sst Gaba_8,96,49,1.0,1.0
supertype_sibling,043 Sst Gaba,0162 Sst Gaba_4,0166a Sst Gaba_10,96,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0162a Sst Gaba_11,0163 Sst Gaba_5,7,28,1.0,1.0
supertype_sibling,043 Sst Gaba,0162a Sst Gaba_11,0163a Sst Gaba_16,7,17,1.0,1.0
supertype_sibling,043 Sst Gaba,0162a Sst Gaba_11,0165 Sst Gaba_7,7,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0162a Sst Gaba_11,0166 Sst Gaba_8,7,49,1.0,1.0
supertype_sibling,043 Sst Gaba,0162a Sst Gaba_11,0166a Sst Gaba_10,7,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0163 Sst Gaba_5,0163a Sst Gaba_16,28,17,1.0,1.0
supertype_sibling,043 Sst Gaba,0163 Sst Gaba_5,0165 Sst Gaba_7,28,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0163 Sst Gaba_5,0166 Sst Gaba_8,28,49,0.9978,0.9978
supertype_sibling,043 Sst Gaba,0163 Sst Gaba_5,0166a Sst Gaba_10,28,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0163a Sst Gaba_16,0165 Sst Gaba_7,17,42,1.0,1.0
supertype_sibling,043 Sst Gaba,0163a Sst Gaba_16,0166 Sst Gaba_8,17,49,0.9976,0.9976
supertype_sibling,043 Sst Gaba,0163a Sst Gaba_16,0166a Sst Gaba_10,17,42,0.9986,0.9986
supertype_sibling,043 Sst Gaba,0165 Sst Gaba_7,0166 Sst Gaba_8,42,49,1.0,1.0
supertype_sibling,043 Sst Gaba,0165 Sst Gaba_7,0166a Sst Gaba_10,42,42,0.9943,0.9943
supertype_sibling,043 Sst Gaba,0166 Sst Gaba_8,0166a Sst Gaba_10,49,42,0.9378,0.9378
supertype_sibling,295 Oligo NN,1025 COP NN,1026 MFOL NN,111,34,1.0,1.0
supertype_sibling,295 Oligo NN,1025 COP NN,1027 MOL NN,111,134,1.0,1.0
supertype_sibling,295 Oligo NN,1026 MFOL NN,1027 MOL NN,34,134,0.9996,0.9996
subclass_sibling,01 IT-ET Glut,001 Car3 Glut,003 L5/6 IT TPE-ENT Glut,10,34,1.0,1.0
subclass_sibling,01 IT-ET Glut,001 Car3 Glut,004 L6 IT CTX Glut,10,633,1.0,1.0
subclass_sibling,01 IT-ET Glut,001 Car3 Glut,005 L5 IT CTX Glut,10,357,1.0,1.0
subclass_sibling,01 IT-ET Glut,001 Car3 Glut,006 L4/5 IT CTX Glut,10,1312,1.0,1.0
subclass_sibling,01 IT-ET Glut,001 Car3 Glut,007 L2/3 IT CTX Glut,10,409,1.0,1.0
subclass_sibling,01 IT-ET Glut,001 Car3 Glut,022 L5 ET CTX Glut,10,269,1.0,1.0
subclass_sibling,01 IT-ET Glut,003 L5/6 IT TPE-ENT Glut,004 L6 IT CTX Glut,34,633,0.8791,0.8791
subclass_sibling,01 IT-ET Glut,003 L5/6 IT TPE-ENT Glut,005 L5 IT CTX Glut,34,357,0.7474,0.7474
subclass_sibling,01 IT-ET Glut,003 L5/6 IT TPE-ENT Glut,006 L4/5 IT CTX Glut,34,1312,0.9664,0.9664
subclass_sibling,01 IT-ET Glut,003 L5/6 IT TPE-ENT Glut,007 L2/3 IT CTX Glut,34,409,1.0,1.0
subclass_sibling,01 IT-ET Glut,003 L5/6 IT TPE-ENT Glut,022 L5 ET CTX Glut,34,269,1.0,1.0
subclass_sibling,01 IT-ET Glut,004 L6 IT CTX Glut,005 L5 IT CTX Glut,633,357,0.7916,0.7916
subclass_sibling,01 IT-ET Glut,004 L6 IT CTX Glut,006 L4/5 IT CTX Glut,633,1312,0.9808,0.9808
subclass_sibling,01 IT-ET Glut,004 L6 IT CTX Glut,007 L2/3 IT CTX Glut,633,409,1.0,1.0
subclass_sibling,01 IT-ET Glut,004 L6 IT CTX Glut,022 L5 ET CTX Glut,633,269,1.0,1.0
subclass_sibling,01 IT-ET Glut,005 L5 IT CTX Glut,006 L4/5 IT CTX Glut,357,1312,0.9747,0.9747
subclass_sibling,01 IT-ET Glut,005 L5 IT CTX Glut,007 L2/3 IT CTX Glut,357,409,0.9967,0.9967
subclass_sibling,01 IT-ET Glut,005 L5 IT CTX Glut,022 L5 ET CTX Glut,357,269,1.0,1.0
subclass_sibling,01 IT-ET Glut,006 L4/5 IT CTX Glut,007 L2/3 IT CTX Glut,1312,409,0.9885,0.9885
subclass_sibling,01 IT-ET Glut,006 L4/5 IT CTX Glut,022 L5 ET CTX Glut,1312,269,1.0,1.0
subclass_sibling,01 IT-ET Glut,007 L2/3 IT CTX Glut,022 L5 ET CTX Glut,409,269,1.0,1.0
subclass_sibling,02 NP-CT-L6b Glut,027 L6b CTX Glut,028 L6 CT CTX Glut,18,519,1.0,1.0
subclass_sibling,02 NP-CT-L6b Glut,027 L6b CTX Glut,030 L5 NP CTX Glut,18,275,1.0,1.0
subclass_sibling,02 NP-CT-L6b Glut,028 L6 CT CTX Glut,030 L5 NP CTX Glut,519,275,1.0,1.0
subclass_sibling,04 CGE GABA,036 Vip Gaba,037 Sncg Gaba,215,41,1.0,1.0
subclass_sibling,04 CGE GABA,036 Vip Gaba,039 Lamp5 Gaba,215,174,0.9936,0.9936
subclass_sibling,04 CGE GABA,037 Sncg Gaba,039 Lamp5 Gaba,41,174,0.9947,0.9947
subclass_sibling,05 MGE GABA,041 Pvalb chandelier Gaba,042 Pvalb Gaba,12,382,1.0,1.0
subclass_sibling,05 MGE GABA,041 Pvalb chandelier Gaba,043 Sst Gaba,12,343,1.0,1.0
subclass_sibling,05 MGE GABA,042 Pvalb Gaba,043 Sst Gaba,382,343,0.9999,0.9999
subclass_sibling,29 Oligo,294 OPC NN,295 Oligo NN,167,279,1.0,1.0
subclass_sibling,31 Vascular,299 Peri NN,301 Endo NN,167,154,1.0,1.0
